Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Joe Burrow,LSU,QB,Cincinnati,+0,40,2020-03-04,Louisiana
2,1,Chase Young,Ohio State,EDGE,Washington,+0,35,2020-03-04,Ohio
3,1,Jeffrey Okudah,Ohio State,CB,Detroit,+0,35,2020-03-04,Ohio
4,1,Tristan Wirfs,Iowa,OT,NY Giants,-1,35,2020-03-04,Iowa
5,1,Tua Tagovailoa,Alabama,QB,Miami,-2,35,2020-03-04,Alabama
6,1,Justin Herbert,Oregon,QB,LA Chargers,-2,35,2020-03-04,Oregon
7,1,Isaiah Simmons,Clemson,OLB,Carolina,+3,35,2020-03-04,South Carolina
8,1,Mekhi Becton,Louisville,OT,Arizona,-2,35,2020-03-04,Kentucky
9,1,Derrick Brown,Auburn,DL1T,Jacksonville,+1,35,2020-03-04,Alabama
10,1,Andrew Thomas,Georgia,OT,Cleveland,-1,35,2020-03-04,Georgia
11,1,Jedrick Wills,Alabama,OT,NY Jets,-4,30,2020-03-04,Alabama
12,1,Jerry Jeudy,Alabama,WR,Las Vegas,+3,30,2020-03-04,Alabama
13,1,Javon Kinlaw,South Carolina,DL3T,Indianapolis,+0,30,2020-03-04,South Carolina
14,1,K'Lavon Chaisson,LSU,EDGE,Tampa Bay,+0,30,2020-03-04,Louisiana
15,1,CeeDee Lamb,Oklahoma,WR,Denver,+3,30,2020-03-04,Oklahoma
16,1,A.J. Epenesa,Iowa,DL5T,Atlanta,-3,30,2020-03-04,Iowa
17,1,Xavier McKinney,Alabama,S,Dallas,-4,30,2020-03-04,Alabama
18,1,Kristian Fulton,LSU,CB,Miami (Trade),-11,30,2020-03-04,Louisiana
19,1,Kenneth Murray,Oklahoma,OLB,Las Vegas (Trade),-9,30,2020-03-04,Oklahoma
20,1,C.J. Henderson,Florida,CB,Jacksonville (Trade),-4,30,2020-03-04,Florida
21,1,Henry Ruggs III,Alabama,WR,Philadelphia,+5,25,2020-03-04,Alabama
