Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Joe Burrow,LSU,QB,Cincinnati,-1,40,2020-03-31,Louisiana
2,1,Chase Young,Ohio State,EDGE,Washington,+1,35,2020-03-31,Ohio
3,1,Jeffrey Okudah,Ohio State,CB,Detroit,-3,35,2020-03-31,Ohio
4,1,Tristan Wirfs,Iowa,OT,NY Giants,-3,35,2020-03-31,Iowa
5,1,Tua Tagovailoa,Alabama,QB,Miami,+1,35,2020-03-31,Alabama
6,1,Justin Herbert,Oregon,QB,LA Chargers,-3,35,2020-03-31,Oregon
7,1,Isaiah Simmons,Clemson,S,Carolina,+4,35,2020-03-31,South Carolina
8,1,Jedrick Wills,Alabama,OT,Arizona,-14,35,2020-03-31,Alabama
9,1,Jordan Love,Utah State,QB,Jacksonville,-15,35,2020-03-31,Utah
10,1,Andrew Thomas,Georgia,OT,Cleveland,-4,35,2020-03-31,Georgia
11,1,CeeDee Lamb,Oklahoma,WR,Philadelphia (SIM Trade),+1,30,2020-03-31,Oklahoma
12,1,Derrick Brown,Auburn,DL1T,Las Vegas,+7,30,2020-03-31,Alabama
13,1,Jerry Jeudy,Alabama,WR,San Francisco (Trade),+2,30,2020-03-31,Alabama
14,1,Mekhi Becton,Louisville,OT,Tampa Bay,+1,30,2020-03-31,Kentucky
15,1,Javon Kinlaw,South Carolina,DL3T,Denver,+7,30,2020-03-31,South Carolina
16,1,K'Lavon Chaisson,LSU,EDGE,Baltimore (SIM Trade),+4,30,2020-03-31,Louisiana
17,1,C.J. Henderson,Florida,CB,Dallas,+1,30,2020-03-31,Florida
18,1,Josh Jones,Houston,OT,Miami (Trade),-14,30,2020-03-31,Texas
19,1,Henry Ruggs III,Alabama,WR,Las Vegas (Trade),+2,30,2020-03-31,Alabama
20,1,Austin Jackson,USC,OT,Jacksonville (Trade),-26,30,2020-03-31,California
21,1,Tee Higgins,Clemson,WR,NY Jets (SIM Trade),+1,25,2020-03-31,South Carolina
22,1,Justin Jefferson,LSU,WR,Minnesota (Trade),-6,25,2020-03-31,Louisiana
23,1,A.J. Epenesa,Iowa,DL5T,New England,-3,25,2020-03-31,Iowa
24,1,Kenneth Murray,Oklahoma,ILB,New Orleans,-1,25,2020-03-31,Oklahoma
25,1,Netane Muti,Fresno State,OG,Minnesota,+4,25,2020-03-31,California
26,1,Grant Delpit,LSU,S,Miami (Trade),-8,25,2020-03-31,Louisiana
27,1,Yetur Gross-Matos,Penn State,EDGE,Seattle,+8,25,2020-03-31,Pennsylvania
28,1,Kristian Fulton,LSU,CB,Atlanta (SIM Trade),+1,25,2020-03-31,Louisiana
29,1,Trevon Diggs,Alabama,CB,Tennessee,+11,25,2020-03-31,Alabama
30,1,Denzel Mims,Baylor,WR,Green Bay,-21,25,2020-03-31,Texas
31,1,Cesar Ruiz,Michigan,OC,San Francisco,+2,25,2020-03-31,Michigan
32,1,Xavier McKinney,Alabama,S,Jacksonville (SIM Trade),+17,25,2020-03-31,Alabama
33,2,Antoine Winfield Jr.,Minnesota,S,Cincinnati,+2,20,2020-03-31,Minnesota
34,2,Bryce Hall,Virginia,CB,Indianapolis (Trade),-24,20,2020-03-31,Virginia
35,2,Shane Lemieux,Oregon,OG,Detroit,-17,20,2020-03-31,Oregon
36,2,Lloyd Cushenberry,LSU,OC,NY Giants,-8,20,2020-03-31,Louisiana
37,2,Jonathan Taylor,Wisconsin,RB,LA Chargers,-2,20,2020-03-31,Wisconsin
38,2,Solomon Kindley,Georgia,OG,Carolina,-2,20,2020-03-31,Georgia
39,2,Tyler Biadasz,Wisconsin,OC,Miami,-47,20,2020-03-31,Wisconsin
40,2,A.J. Terrell,Clemson,CB,Houston (Trade),+4,20,2020-03-31,South Carolina
41,2,Kyle Dugger,Lenoir–Rhyne,S,Cleveland,-1,20,2020-03-31,North Carolina
42,2,D'Andre Swift,Georgia,RB,Kansas City (SIM Trade),+5,20,2020-03-31,Georgia
43,2,John Simpson,Clemson,OG,Chicago (Trade),-14,20,2020-03-31,South Carolina
44,2,Laviska Shenault,Colorado,WR,Indianapolis,+14,20,2020-03-31,Colorado
45,2,Jalen Reagor,TCU,WRS,Tampa Bay,+0,20,2020-03-31,Texas
46,2,K.J. Hamler,Penn State,WRS,Denver,-7,20,2020-03-31,Pennsylvania
47,2,Patrick Queen,LSU,OLB,Atlanta,+24,20,2020-03-31,Louisiana
