Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Joe Burrow,LSU,QB,Cincinnati,-1,40,2020-03-24,Louisiana
2,1,Chase Young,Ohio State,EDGE,Washington,+1,35,2020-03-24,Ohio
3,1,Isaiah Simmons,Clemson,OLB,Detroit,+0,35,2020-03-24,South Carolina
4,1,Tua Tagovailoa,Alabama,QB,LA Chargers,+0,35,2020-03-24,Alabama
5,1,Jedrick Wills,Alabama,OT,Miami,-17,35,2020-03-24,Alabama
6,1,Tristan Wirfs,Iowa,OT,NY Giants,-1,35,2020-03-24,Iowa
7,1,Derrick Brown,Auburn,DL1T,Carolina,+2,35,2020-03-24,Alabama
8,1,Andrew Thomas,Georgia,OT,Arizona,-6,35,2020-03-24,Georgia
9,1,Jeffrey Okudah,Ohio State,CB,Jacksonville,+3,35,2020-03-24,Ohio
10,1,Mekhi Becton,Louisville,OT,Cleveland,-3,35,2020-03-24,Kentucky
11,1,CeeDee Lamb,Oklahoma,WR,NY Jets,+1,30,2020-03-24,Oklahoma
12,1,Jerry Jeudy,Alabama,WR,Las Vegas,+1,30,2020-03-24,Alabama
13,1,Henry Ruggs III,Alabama,WR,San Francisco (Trade),-4,30,2020-03-24,Alabama
14,1,Josh Jones,Houston,OT,Tampa Bay,-18,30,2020-03-24,Texas
15,1,Javon Kinlaw,South Carolina,DL1T,Denver,+1,30,2020-03-24,South Carolina
16,1,K'Lavon Chaisson,LSU,EDGE,Atlanta,+4,30,2020-03-24,Louisiana
17,1,Jordan Love,Utah State,QB,New England,-7,30,2020-03-24,Utah
18,1,Justin Herbert,Oregon,QB,Miami (Trade),+9,30,2020-03-24,Oregon
19,1,C.J. Henderson,Florida,CB,Las Vegas (Trade),+3,30,2020-03-24,Florida
20,1,Austin Jackson,USC,OT,Jacksonville (Trade),-26,30,2020-03-24,California
21,1,A.J. Epenesa,Iowa,DL5T,Philadelphia,-5,25,2020-03-24,Iowa
22,1,Tee Higgins,Clemson,WR,Minnesota (Trade),+2,25,2020-03-24,South Carolina
23,1,Xavier McKinney,Alabama,S,Dallas,+8,25,2020-03-24,Alabama
24,1,Trevon Diggs,Alabama,CB,New Orleans,+6,25,2020-03-24,Alabama
25,1,Kristian Fulton,LSU,CB,Minnesota,-2,25,2020-03-24,Louisiana
26,1,Grant Delpit,LSU,S,Miami (Trade),-8,25,2020-03-24,Louisiana
27,1,Yetur Gross-Matos,Penn State,EDGE,Seattle,+8,25,2020-03-24,Pennsylvania
28,1,Laviska Shenault,Colorado,WR,Baltimore,-2,25,2020-03-24,Colorado
29,1,Prince Tega Wanogho,Auburn,OT,Tennessee,-30,25,2020-03-24,Alabama
30,1,Justin Jefferson,LSU,WR,Green Bay,+2,25,2020-03-24,Louisiana
31,1,Cesar Ruiz,Michigan,OC,San Francisco,+2,25,2020-03-24,Michigan
32,1,Netane Muti,Fresno State,OG,Kansas City,+11,25,2020-03-24,California
33,2,Antoine Winfield Jr.,Minnesota,S,Cincinnati,+2,20,2020-03-24,Minnesota
34,2,Ross Blacklock,TCU,DL3T,Indianapolis (Trade),+1,20,2020-03-24,Texas
35,2,Shane Lemieux,Oregon,OG,Detroit,-17,20,2020-03-24,Oregon
36,2,Lloyd Cushenberry,LSU,OC,NY Giants,-8,20,2020-03-24,Louisiana
37,2,Jonathan Taylor,Wisconsin,RB,LA Chargers,-2,20,2020-03-24,Wisconsin
38,2,Solomon Kindley,Georgia,OG,Carolina,-2,20,2020-03-24,Georgia
39,2,Tyler Biadasz,Wisconsin,OC,Miami,-47,20,2020-03-24,Wisconsin
40,2,A.J. Terrell,Clemson,CB,Houston (Trade),+4,20,2020-03-24,South Carolina
41,2,Kenneth Murray,Oklahoma,ILB,Cleveland,+16,20,2020-03-24,Oklahoma
42,2,Justin Madubuike,Texas A&M,DL3T,Jacksonville,+7,20,2020-03-24,Texas
43,2,Kyle Dugger,Lenoir–Rhyne,S,Chicago (Trade),+1,20,2020-03-24,North Carolina
44,2,John Simpson,Clemson,OG,Indianapolis,-13,20,2020-03-24,South Carolina
45,2,D'Andre Swift,Georgia,RB,Tampa Bay,+8,20,2020-03-24,Georgia
46,2,Ezra Cleveland,Boise State,OT,Denver,-27,20,2020-03-24,Idaho
47,2,Patrick Queen,LSU,OLB,Atlanta,+24,20,2020-03-24,Louisiana
48,2,Isaiah Wilson,Georgia,OT,NY Jets,-20,20,2020-03-24,Georgia
49,2,J.K. Dobbins,Ohio State,RB,Pittsburgh,-7,15,2020-03-24,Ohio
50,2,Damon Arnette,Ohio State,CB,Chicago,+7,15,2020-03-24,Ohio
51,2,Terrell Lewis,Alabama,EDGE,Dallas,-9,15,2020-03-24,Alabama
52,2,Malik Harrison,Ohio State,ILB,LA Rams,+3,15,2020-03-24,Ohio
53,2,Denzel Mims,Baylor,WR,Philadelphia,+2,15,2020-03-24,Texas
54,2,Zack Baun,Wisconsin,OLB,Buffalo,+13,15,2020-03-24,Wisconsin
55,2,Jaylon Johnson,Utah,CB,Baltimore (Trade),+8,15,2020-03-24,Utah
56,2,Jalen Reagor,TCU,WRS,Miami (Trade),+11,15,2020-03-24,Texas
57,2,Julian Okwara,Notre Dame,EDGE,Houston,+2,15,2020-03-24,Indiana
58,2,Jabari Zuniga,Florida,EDGE,Minnesota,-4,15,2020-03-24,Florida
59,2,Hakeem Adeniji,Kansas,OT,Seattle,-12,15,2020-03-24,Kansas
60,2,Neville Gallimore,Oklahoma,DL1T,Baltimore,+22,15,2020-03-24,Oklahoma
61,2,Hunter Bryant,Washington,TE,Tennessee,+11,15,2020-03-24,Washington
62,2,Davon Hamilton,Ohio State,DL1T,Green Bay,-3,15,2020-03-24,Ohio
63,2,Bryce Hall,Virginia,CB,Kansas City (Trade),+5,15,2020-03-24,Virginia
64,2,Cam Akers,Florida State,RB,Seattle (Trade),-36,15,2020-03-24,Florida
65,3,Alton Robinson,Syracuse,EDGE,Cincinnati,-2,10,2020-03-24,New York
66,3,Cole Kmet,Notre Dame,TE,Washington,+5,10,2020-03-24,Indiana
67,3,Curtis Weaver,Boise State,EDGE,Detroit,-10,10,2020-03-24,Idaho
68,3,Jeff Gladney,TCU,CB,NY Jets (Trade),-2,10,2020-03-24,Texas
69,3,Troy Dye,Oregon,ILB,Carolina,+15,10,2020-03-24,Oregon
70,3,Damien Lewis,LSU,OG,Miami,-9,10,2020-03-24,Louisiana
71,3,Marlon Davidson,Auburn,DL5T,NY Giants,+7,10,2020-03-24,Alabama
72,3,Clyde Edwards-Helaire,LSU,RB,Arizona,+9,10,2020-03-24,Louisiana
73,3,Jacob Eason,Washington,QB,Jacksonville,+25,10,2020-03-24,Washington
74,3,Ben Bredeson,Michigan,OG,Cleveland,-13,10,2020-03-24,Michigan
75,3,Adam Trautman,Dayton,TE,Indianapolis,-23,10,2020-03-24,Ohio
76,3,K.J. Hamler,Penn State,WRS,Tampa Bay,+23,10,2020-03-24,Pennsylvania
77,3,Devin Duvernay,Texas,WRS,Denver,-20,10,2020-03-24,Texas
78,3,Cameron Dantzler,Mississippi State,CB,Atlanta,-7,10,2020-03-24,Mississippi
79,3,Michael Pittman Jr.,USC,WR,NY Jets,+13,10,2020-03-24,California
80,3,Jalen Hurts,Oklahoma,QB,Las Vegas,+2,10,2020-03-24,Oklahoma
81,3,Chase Claypool,Notre Dame,WR,Las Vegas (Trade),-7,10,2020-03-24,Indiana
