Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Joe Burrow,LSU,QB,Cincinnati,+0,40,2020-03-01,Louisiana
2,1,Chase Young,Ohio State,EDGE,Washington,+0,35,2020-03-01,Ohio
3,1,Tua Tagovailoa,Alabama,QB,Miami,-4,35,2020-03-01,Alabama
4,1,Tristan Wirfs,Iowa,OT,NY Giants,-1,35,2020-03-01,Iowa
5,1,Jeffrey Okudah,Ohio State,CB,Detroit,+2,35,2020-03-01,Ohio
6,1,Justin Herbert,Oregon,QB,LA Chargers,-2,35,2020-03-01,Oregon
7,1,Isaiah Simmons,Clemson,OLB,Carolina,+1,35,2020-03-01,South Carolina
8,1,Mekhi Becton,Louisville,OT,Arizona,-3,35,2020-03-01,Kentucky
9,1,K'Lavon Chaisson,LSU,OLB,Atlanta,-9,35,2020-03-01,Louisiana
10,1,Andrew Thomas,Georgia,OT,Cleveland,-2,35,2020-03-01,Georgia
11,1,Jedrick Wills,Alabama,OT,NY Jets,-8,30,2020-03-01,Alabama
12,1,Derrick Brown,Auburn,DL3T,Las Vegas,+8,30,2020-03-01,Alabama
13,1,Javon Kinlaw,South Carolina,DL3T,Indianapolis,-2,30,2020-03-01,South Carolina
14,1,Yetur Gross-Matos,Penn State,EDGE,Tampa Bay,+0,30,2020-03-01,Pennsylvania
15,1,Jerry Jeudy,Alabama,WR,Denver,+6,30,2020-03-01,Alabama
16,1,CeeDee Lamb,Oklahoma,WR,Jacksonville,+3,30,2020-03-01,Oklahoma
17,1,Xavier McKinney,Alabama,S,Dallas,-6,30,2020-03-01,Alabama
18,1,A.J. Epenesa,Iowa,DL5T,Miami (Trade),+8,30,2020-03-01,Iowa
19,1,Henry Ruggs III,Alabama,WR,Las Vegas (Trade),-2,30,2020-03-01,Alabama
20,1,Trevon Diggs,Alabama,CB,Jacksonville (Trade),+4,30,2020-03-01,Alabama
21,1,Justin Jefferson,LSU,WR,Philadelphia,-3,25,2020-03-01,Louisiana
22,1,Tee Higgins,Clemson,WR,Buffalo,-3,25,2020-03-01,South Carolina
23,1,Laviska Shenault,Colorado,WR,New England,-7,25,2020-03-01,Colorado
24,1,Kristian Fulton,LSU,CB,New Orleans,+7,25,2020-03-01,Louisiana
25,1,Josh Jones,Houston,OT,Minnesota,-2,25,2020-03-01,Texas
26,1,Austin Jackson,USC,OT,Miami (Trade),-12,25,2020-03-01,California
27,1,Curtis Weaver,Boise State,EDGE,Seattle,+7,25,2020-03-01,Idaho
28,1,Neville Gallimore,Oklahoma,DL1T,Baltimore,-8,25,2020-03-01,Oklahoma
29,1,Prince Tega Wanogho,Auburn,OT,Tennessee,-24,25,2020-03-01,Alabama
30,1,Denzel Mims,Baylor,WR,Green Bay,-18,25,2020-03-01,Texas
31,1,Jalen Reagor,TCU,WRS,San Francisco,-6,25,2020-03-01,Texas
32,1,C.J. Henderson,Florida,CB,Kansas City,+6,25,2020-03-01,Florida
33,2,Antoine Winfield Jr.,Minnesota,S,Cincinnati,+5,20,2020-03-01,Minnesota
34,2,Jordan Love,Utah State,QB,Indianapolis (Trade),+1,20,2020-03-01,Utah
35,2,Terrell Lewis,Alabama,EDGE,Detroit,-14,20,2020-03-01,Alabama
36,2,Kenneth Murray,Oklahoma,ILB,NY Giants,+5,20,2020-03-01,Oklahoma
37,2,Jonathan Taylor,Wisconsin,RB,LA Chargers,+15,20,2020-03-01,Wisconsin
38,2,Cesar Ruiz,Michigan,OC,Carolina,+6,20,2020-03-01,Michigan
39,2,Netane Muti,Fresno State,OG,Detroit,+10,20,2020-03-01,California
40,2,Brandon Aiyuk,Arizona State,WR,Arizona,-14,20,2020-03-01,Arizona
41,2,Grant Delpit,LSU,S,Cleveland,+6,20,2020-03-01,Louisiana
42,2,Justin Madubuike,Texas A&M,DL3T,Jacksonville,-16,20,2020-03-01,Texas
43,2,Solomon Kindley,Georgia,OG,Chicago (Trade),+4,20,2020-03-01,Georgia
44,2,A.J. Green,Oklahoma State,CB,Indianapolis,-48,20,2020-03-01,Oklahoma
45,2,D'Andre Swift,Georgia,RB,Tampa Bay,+11,20,2020-03-01,Georgia
46,2,Lloyd Cushenberry,LSU,OC,Denver,+6,20,2020-03-01,Louisiana
47,2,Patrick Queen,LSU,ILB,Atlanta,-12,20,2020-03-01,Louisiana
48,2,Damon Arnette,Ohio State,CB,NY Jets,+6,20,2020-03-01,Ohio
49,2,Hunter Bryant,Washington,TE,Pittsburgh,+8,15,2020-03-01,Washington
50,2,Bryce Hall,Virginia,CB,Chicago,+3,15,2020-03-01,Virginia
51,2,A.J. Terrell,Clemson,CB,Dallas,+0,15,2020-03-01,South Carolina
52,2,Isaiah Wilson,Georgia,OT,LA Rams,-20,15,2020-03-01,Georgia
53,2,Jeff Gladney,TCU,CB,Philadelphia,-3,15,2020-03-01,Texas
54,2,Clyde Edwards-Helaire,LSU,RB,Buffalo,-9,15,2020-03-01,Louisiana
55,2,Malik Harrison,Ohio State,ILB,Jacksonville,-12,15,2020-03-01,Ohio
56,2,Tyler Biadasz,Wisconsin,OC,Miami (Trade),-6,15,2020-03-01,Wisconsin
57,2,Raekwon Davis,Alabama,DL3T,Minnesota,-3,15,2020-03-01,Alabama
58,2,Cameron Dantzler,Mississippi State,CB,Houston,-13,15,2020-03-01,Mississippi
59,2,Ben Bredeson,Michigan,OG,Seattle,-2,15,2020-03-01,Michigan
60,2,Julian Okwara,Notre Dame,EDGE,Baltimore,-18,15,2020-03-01,Indiana
61,2,Jake Fromm,Georgia,QB,Tennessee,+15,15,2020-03-01,Georgia
62,2,Zack Baun,Wisconsin,OLB,Green Bay,+17,15,2020-03-01,Wisconsin
63,2,Shane Lemieux,Oregon,OG,Kansas City (Trade),+20,15,2020-03-01,Oregon
64,2,Marlon Davidson,Auburn,DL5T,Seattle (Trade),-10,15,2020-03-01,Alabama
65,3,Michael Pittman Jr.,USC,WR,Cincinnati,+0,10,2020-03-01,California
66,3,Albert Okwuegbunam,Missouri,TE,Washington,+11,10,2020-03-01,Missouri
67,3,J.K. Dobbins,Ohio State,RB,Detroit,+23,10,2020-03-01,Ohio
68,3,Tyler Johnson,Minnesota,WR,NY Jets (Trade),+2,10,2020-03-01,Minnesota
69,3,John Simpson,Clemson,OG,Carolina,+1,10,2020-03-01,South Carolina
70,3,K.J. Hamler,Penn State,WRS,Miami,+20,10,2020-03-01,Pennsylvania
71,3,Calvin Throckmorton,Oregon,OT,LA Chargers,-15,10,2020-03-01,Oregon
72,3,James Lynch,Baylor,DL5T,Arizona,+20,10,2020-03-01,Texas
73,3,Cole Kmet,Notre Dame,TE,Jacksonville,+16,10,2020-03-01,Indiana
74,3,Hakeem Adeniji,Kansas,OG,Cleveland,-2,10,2020-03-01,Kansas
75,3,Damien Lewis,LSU,OG,Indianapolis,-2,10,2020-03-01,Louisiana
76,3,Trey Adams,Washington,OT,Tampa Bay,-14,10,2020-03-01,Washington
77,3,Jaylon Johnson,Utah,CB,Denver,+7,10,2020-03-01,Utah
78,3,Adam Trautman,Dayton,TE,Atlanta,-51,10,2020-03-01,Ohio
79,3,Logan Stenberg,Kentucky,OG,NY Jets,-6,10,2020-03-01,Kentucky
80,3,Troy Dye,Oregon,ILB,Las Vegas,+11,10,2020-03-01,Oregon
81,3,Anfernee Jennings,Alabama,OLB,Las Vegas (Trade),+6,10,2020-03-01,Alabama
82,3,Rashard Lawrence,LSU,DL1T,Dallas,-1,10,2020-03-01,Louisiana
83,3,Kyle Dugger,Lenoir–Rhyne,S,Denver (Trade),+10,10,2020-03-01,North Carolina
84,3,Jacob Phillips,LSU,ILB,LA Rams,+2,10,2020-03-01,Louisiana
85,3,Ross Blacklock,TCU,DL3T,Philadelphia,-10,10,2020-03-01,Texas
86,3,Brandon Jones,Texas,S,Buffalo,-19,10,2020-03-01,Texas
87,3,Brycen Hopkins,Purdue,TE,New England,-16,10,2020-03-01,Indiana
88,3,Chase Claypool,Notre Dame,WR,New Orleans,+0,10,2020-03-01,Indiana
89,3,Ashtyn Davis,California,S,Minnesota,-5,10,2020-03-01,California
90,3,Bradlee Anae,Utah,EDGE,Cleveland (Trade),+3,10,2020-03-01,Utah
91,3,Shyheim Carter,Alabama,CB,Las Vegas (Trade),+7,10,2020-03-01,Alabama
92,3,Dele Harding,Illinois,OLB,Baltimore,+11,10,2020-03-01,Illinois
93,3,Josh Uche,Michigan,OLB,Tennessee,+0,10,2020-03-01,Michigan
94,3,Ezra Cleveland,Boise State,OT,Green Bay,-32,10,2020-03-01,Idaho
95,3,Leki Fotu,Utah,DL1T,Denver (Trade),+6,10,2020-03-01,Utah
96,3,Darryl Williams,Mississippi State,OC,Kansas City,+16,10,2020-03-01,Mississippi
97,3,Davon Hamilton,Ohio State,DL3T,New England (Comp),-7,10,2020-03-01,Ohio
98,3,Darrell Taylor,Tennessee,EDGE,NY Giants (Comp),-20,10,2020-03-01,Tennessee
99,3,Jalen Hurts,Oklahoma,QB,New England (Comp),+35,10,2020-03-01,Oklahoma
100,3,Nick Harris,Washington,OC,Seattle (Comp),-13,10,2020-03-01,Washington
101,3,Cam Akers,Florida State,RB,Houston (Comp),+10,10,2020-03-01,Florida
102,3,K'Von Wallace,Clemson,S,Pittsburgh (Comp),+6,10,2020-03-01,South Carolina
103,3,Kenny Willekes,Michigan State,EDGE,Philadelphia (Comp),-18,10,2020-03-01,Michigan
104,4,Lamar Jackson,Nebraska,CB,Cincinnati,-6,8,2020-03-01,Nebraska
105,4,K.J. Hill,Ohio State,WR,Washington,+6,8,2020-03-01,Ohio
106,4,Jordyn Brooks,Texas Tech,ILB,Detroit,+8,8,2020-03-01,Texas
107,4,Akeem Davis-Gaither,Appalachian State,OLB,NY Giants,+5,8,2020-03-01,North Carolina
108,4,Joe Gaziano,Northwestern,DL5T,Houston (Trade),-1,8,2020-03-01,Illinois
109,4,Devin Duvernay,Texas,WRS,LA Chargers,+8,8,2020-03-01,Texas
110,4,Collin Johnson,Texas,WR,Carolina,+10,8,2020-03-01,Texas
111,4,Zack Moss,Utah,RB,Arizona,+14,8,2020-03-01,Utah
112,4,Benito Jones,Ole Miss,DL1T,Cleveland,-43,8,2020-03-01,Mississippi
113,4,Jonathan Greenard,Florida,EDGE,Atlanta,-12,8,2020-03-01,Florida
114,4,Antoine Brooks Jr.,Maryland,S,Tampa Bay,-19,8,2020-03-01,Maryland
115,4,Trevis Gipson,Tulsa,DL5T,Denver,+4,8,2020-03-01,Oklahoma
116,4,James Proche,SMU,WRS,Atlanta,+10,8,2020-03-01,Texas
117,4,A.J. Dillon,Boston College,RB,NY Jets,-2,8,2020-03-01,Massachusetts
118,4,Alex Highsmith,Charlotte,EDGE,Las Vegas,-9,8,2020-03-01,North Carolina
119,4,Donovan Peoples-Jones,Michigan,WR,Indianapolis,+11,8,2020-03-01,Michigan
120,4,Colby Parkinson,Stanford,TE,Dallas,+4,8,2020-03-01,California
121,4,Jonah Jackson,Ohio State,OG,Pittsburgh,-2,8,2020-03-01,Ohio
122,4,Khalid Kareem,Notre Dame,EDGE,New England (Trade),-16,8,2020-03-01,Indiana
123,4,Ke'Shawn Vaughn,Vanderbilt,RB,LA Rams,+9,8,2020-03-01,Tennessee
124,4,Evan Weaver,California,ILB,Philadelphia,-4,8,2020-03-01,California
125,4,Antonio Gandy-Golden,Liberty,WR,Buffalo,+13,8,2020-03-01,Virginia
126,4,Jordan Elliott,Missouri,DL3T,Baltimore (Trade),+6,8,2020-03-01,Missouri
127,4,Ben Bartch,St. John's,OG,New Orleans,-16,8,2020-03-01,Minnesota
128,4,Jauan Jennings,Tennessee,WR,Minnesota,+6,8,2020-03-01,Tennessee
129,4,Yasir Durant,Missouri,OT,Houston,+14,8,2020-03-01,Missouri
130,4,Lucas Niang,TCU,OT,Seattle,-6,8,2020-03-01,Texas
131,4,Noah Igbinoghene,Auburn,CB,Baltimore,+7,8,2020-03-01,Alabama
132,4,Trevon Hill,Miami (FL),EDGE,Pittsburgh (Trade),-10,8,2020-03-01,Florida
133,4,Harrison Bryant,Florida Atlantic,TE,Green Bay,-30,8,2020-03-01,Florida
134,4,Robert Hunt,Louisiana-Lafayette,OT,Denver (Trade),-15,8,2020-03-01,Louisiana
135,4,Chris Orr,Wisconsin,OLB,Kansas City,+5,8,2020-03-01,Wisconsin
136,4,Van Jefferson,Florida,WR,Baltimore (Comp),-60,8,2020-03-01,Florida
137,4,Troy Pride Jr.,Notre Dame,CB,LA Rams (Comp),+2,8,2020-03-01,Indiana
138,4,Lavert Hill,Michigan,CB,Minnesota (Comp),-14,8,2020-03-01,Michigan
139,4,Aaron Fuller,Washington,WRS,Tampa Bay (Comp),-102,8,2020-03-01,Washington
140,4,Lamical Perine,Florida,RB,Philadelphia (Comp),+3,8,2020-03-01,Florida
141,4,Darnay Holmes,UCLA,CB,Washington (Comp),-15,8,2020-03-01,California
142,4,Oluwole Betiku,Illinois,EDGE,Miami (Comp),-8,8,2020-03-01,Illinois
143,4,Quartney Davis,Texas A&M,WR,Seattle (Comp),+2,8,2020-03-01,Texas
144,4,Jacob Eason,Washington,QB,Chicago (Comp),+65,8,2020-03-01,Washington
145,4,Simon Stepaniak,Indiana,OG,Baltimore (Comp),-9,8,2020-03-01,Indiana
146,4,Jason Strowbridge,North Carolina,DL5T,Philadelphia (Comp),-22,8,2020-03-01,North Carolina
