Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Joe Burrow,LSU,QB,Cincinnati,-1,40,2020-01-11,Louisiana
2,1,Chase Young,Ohio State,EDGE,Washington,1,35,2020-01-11,Ohio
3,1,Jerry Jeudy,Alabama,WRF,Detroit,-2,35,2020-01-11,Alabama
4,1,A.J. Epenesa,Iowa,EDGE,NY Giants,-5,35,2020-01-11,Iowa
5,1,Andrew Thomas,Georgia,OT,Miami,-2,35,2020-01-11,Georgia
6,1,Justin Herbert,Oregon,QB,LA Chargers,2,35,2020-01-11,Oregon
7,1,Derrick Brown,Auburn,DL1T,Carolina,4,35,2020-01-11,Alabama
8,1,CeeDee Lamb,Oklahoma,WRF,Arizona,-4,35,2020-01-11,Oklahoma
9,1,Jeffrey Okudah,Ohio State,CB,Jacksonville,3,35,2020-01-11,Ohio
10,1,Jedrick Wills,Alabama,OT,Cleveland,-7,35,2020-01-11,Alabama
11,1,Austin Jackson,USC,OT,NY Jets,1,30,2020-01-11,California
12,1,Isaiah Simmons,Clemson,OLB,Las Vegas,4,30,2020-01-11,South Carolina
13,1,Laviska Shenault,Colorado,WRF,Indianapolis,-11,30,2020-01-11,Colorado
14,1,Tristan Wirfs,Iowa,OT,Tampa Bay,1,30,2020-01-11,Iowa
15,1,Henry Ruggs III,Alabama,WRF,Denver,-10,30,2020-01-11,Alabama
16,1,Yetur Gross-Matos,Penn State,EDGE,Atlanta,2,30,2020-01-11,Pennsylvania
17,1,Kristian Fulton,LSU,CB,Dallas,6,30,2020-01-11,Louisiana
18,1,Tua Tagovailoa,Alabama,QB,Miami (Trade),-2,30,2020-01-11,Alabama
19,1,Kenneth Murray,Oklahoma,ILB,Las Vegas (Trade),-14,30,2020-01-11,Oklahoma
20,1,Troy Dye,Oregon,ILB,Jacksonville (Trade),-24,30,2020-01-11,Oregon
21,1,Javon Kinlaw,South Carolina,DL3T,Philadelphia,6,25,2020-01-11,South Carolina
22,1,Michael Pittman Jr.,USC,WRF,Buffalo,-35,25,2020-01-11,California
23,1,Curtis Weaver,Boise State,EDGE,New England,4,25,2020-01-11,Idaho
24,1,Tee Higgins,Clemson,WRF,New Orleans,1,25,2020-01-11,South Carolina
25,1,Anfernee Jennings,Alabama,OLB,Minnesota,-6,25,2020-01-11,Alabama
26,1,Jake Fromm,Georgia,QB,Tennessee,-12,25,2020-01-11,Georgia
27,1,Trevon Diggs,Alabama,CB,Miami (Trade),6,25,2020-01-11,Alabama
28,1,Tyler Biadasz,Wisconsin,OC,Seattle,2,25,2020-01-11,Wisconsin
29,1,C.J. Henderson,Florida,CB,Kansas City,2,25,2020-01-11,Florida
30,1,Jalen Reagor,TCU,WRF,Green Bay,-10,25,2020-01-11,Texas
31,1,Grant Delpit,LSU,S,San Francisco,15,25,2020-01-11,Louisiana
32,1,Terrell Lewis,Alabama,EDGE,Baltimore,-23,25,2020-01-11,Alabama
33,2,Solomon Kindley,Georgia,OG,Cincinnati,5,20,2020-01-11,Georgia
34,2,Mekhi Becton,Louisville,OT,Indianapolis (Trade),-16,20,2020-01-11,Kentucky
35,2,Cameron Dantzler,Mississippi State,CB,Detroit,5,20,2020-01-11,Mississippi
36,2,Trey Adams,Washington,OT,NY Giants,1,20,2020-01-11,Washington
37,2,Prince Tega Wanogho,Auburn,OT,LA Chargers,0,20,2020-01-11,Alabama
38,2,Hamsah Nasirildeen,Florida State,S,Carolina,-29,20,2020-01-11,Florida
39,2,Jonathan Taylor,Wisconsin,RBF,Miami,21,20,2020-01-11,Wisconsin
40,2,D'Andre Swift,Georgia,RBF,Arizona,18,20,2020-01-11,Georgia
41,2,Xavier McKinney,Alabama,S,Cleveland,5,20,2020-01-11,Alabama
42,2,Shane Lemieux,Oregon,OG,Jacksonville,3,20,2020-01-11,Oregon
43,2,Josh Jones,Houston,OT,Chicago (Trade),-5,20,2020-01-11,Texas
44,2,A.J. Terrell,Clemson,CB,Indianapolis,-16,20,2020-01-11,South Carolina
45,2,Ben Bredeson,Michigan,OG,Tampa Bay,-13,20,2020-01-11,Michigan
46,2,Bryce Hall,Virginia,CB,Denver,4,20,2020-01-11,Virginia
47,2,Jake Hanson,Oregon,OC,Atlanta,4,20,2020-01-11,Oregon
48,2,Tyler Johnson,Minnesota,WRF,NY Jets,16,20,2020-01-11,Minnesota
49,2,Rashard Lawrence,LSU,DL1T,Pittsburgh,-7,15,2020-01-11,Louisiana
50,2,Jordyn Brooks,Texas Tech,ILB,Chicago,-12,15,2020-01-11,Texas
51,2,Justin Madubuike,Texas A&M,DL3T,Dallas,6,15,2020-01-11,Texas
52,2,Lucas Niang,TCU,OT,LA Rams,-17,15,2020-01-11,Texas
53,2,Justin Jefferson,LSU,WRF,Philadelphia,0,15,2020-01-11,Louisiana
54,2,Isaiah Wilson,Georgia,OT,Buffalo,7,15,2020-01-11,Georgia
55,2,Albert Okwuegbunam,Missouri,TE,Atlanta (Trade),14,15,2020-01-11,Missouri
