Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Joe Burrow,LSU,QB,Cincinnati,-1,40,2020-04-21,Louisiana
2,1,Chase Young,Ohio State,EDGE,Washington,+1,35,2020-04-21,Ohio
3,1,Jeffrey Okudah,Ohio State,CB,Detroit,-3,35,2020-04-21,Ohio
4,1,Jedrick Wills,Alabama,OT,NY Giants,-12,35,2020-04-21,Alabama
5,1,Tua Tagovailoa,Alabama,QB,Miami,+1,35,2020-04-21,Alabama
6,1,Justin Herbert,Oregon,QB,LA Chargers,-6,35,2020-04-21,Oregon
7,1,Isaiah Simmons,Clemson,OLB,Carolina,+4,35,2020-04-21,South Carolina
8,1,Tristan Wirfs,Iowa,OT,Arizona,+1,35,2020-04-21,Iowa
9,1,Derrick Brown,Auburn,DL1T,Jacksonville,+4,35,2020-04-21,Alabama
10,1,Andrew Thomas,Georgia,OT,Cleveland,-3,35,2020-04-21,Georgia
11,1,Mekhi Becton,Louisville,OT,NY Jets,+0,30,2020-04-21,Kentucky
12,1,CeeDee Lamb,Oklahoma,WR,Las Vegas,+3,30,2020-04-21,Oklahoma
13,1,Henry Ruggs III,Alabama,WR,San Francisco (Trade),-1,30,2020-04-21,Alabama
14,1,Josh Jones,Houston,OT,Tampa Bay,-14,30,2020-04-21,Texas
15,1,Jerry Jeudy,Alabama,WR,Denver,+5,30,2020-04-21,Alabama
16,1,C.J. Henderson,Florida,CB,Atlanta,-2,30,2020-04-21,Florida
17,1,Javon Kinlaw,South Carolina,DL3T,Dallas,+9,30,2020-04-21,South Carolina
18,1,K'Lavon Chaisson,LSU,OLB,Miami (Trade),+3,30,2020-04-21,Louisiana
19,1,Trevon Diggs,Alabama,CB,Las Vegas,-3,30,2020-04-21,Alabama
20,1,Austin Jackson,USC,OT,Jacksonville (Trade),-17,30,2020-04-21,California
21,1,Justin Jefferson,LSU,WR,Philadelphia,-3,25,2020-04-21,Louisiana
22,1,Denzel Mims,Baylor,WR,Minnesota (Trade),-18,25,2020-04-21,Texas
23,1,A.J. Epenesa,Iowa,DL5T,New England,+0,25,2020-04-21,Iowa
24,1,Tee Higgins,Clemson,WR,New Orleans,+4,25,2020-04-21,South Carolina
25,1,Grant Delpit,LSU,S,Minnesota,-11,25,2020-04-21,Louisiana
26,1,Xavier McKinney,Alabama,S,Miami (Trade),+7,25,2020-04-21,Alabama
27,1,Yetur Gross-Matos,Penn State,EDGE,Seattle,+2,25,2020-04-21,Pennsylvania
28,1,Patrick Queen,LSU,OLB,Baltimore,+7,25,2020-04-21,Louisiana
29,1,Jeff Gladney,TCU,CB,Tennessee,-27,25,2020-04-21,Texas
30,1,Jalen Reagor,TCU,WRS,Green Bay,-12,25,2020-04-21,Texas
31,1,Raekwon Davis,Alabama,DL3T,San Francisco,-39,25,2020-04-21,Alabama
32,1,Kenneth Murray,Oklahoma,ILB,Kansas City,+6,25,2020-04-21,Oklahoma
33,2,Kristian Fulton,LSU,CB,Cincinnati,+3,20,2020-04-21,Louisiana
34,2,Jordan Love,Utah State,QB,Indianapolis (Trade),+17,20,2020-04-21,Utah
35,2,Shane Lemieux,Oregon,OG,Detroit,-29,20,2020-04-21,Oregon
36,2,Isaiah Wilson,Georgia,OT,NY Giants,-17,20,2020-04-21,Georgia
37,2,Jonathan Taylor,Wisconsin,RB,LA Chargers,-4,20,2020-04-21,Wisconsin
38,2,Netane Muti,Fresno State,OG,Carolina,+11,20,2020-04-21,California
39,2,D'Andre Swift,Georgia,RB,Miami,+10,20,2020-04-21,Georgia
40,2,A.J. Terrell,Clemson,CB,Houston (Trade),+2,20,2020-04-21,South Carolina
41,2,Antoine Winfield Jr.,Minnesota,S,Cleveland,+9,20,2020-04-21,Minnesota
42,2,Kyle Dugger,Lenoir–Rhyne,S,Jacksonville,-2,20,2020-04-21,North Carolina
43,2,Jaylon Johnson,Utah,CB,Chicago (Trade),-3,20,2020-04-21,Utah
44,2,Ross Blacklock,TCU,DL3T,Indianapolis,+10,20,2020-04-21,Texas
45,2,Justin Madubuike,Texas A&M,DL3T,Tampa Bay,+14,20,2020-04-21,Texas
46,2,Lloyd Cushenberry,LSU,OC,Denver,+1,20,2020-04-21,Louisiana
47,2,Neville Gallimore,Oklahoma,DL3T,Atlanta,+4,20,2020-04-21,Oklahoma
48,2,Laviska Shenault,Colorado,WR,NY Jets,+15,20,2020-04-21,Colorado
49,2,Ezra Cleveland,Boise State,OT,Pittsburgh,-12,15,2020-04-21,Idaho
50,2,Cesar Ruiz,Michigan,OC,Chicago,+15,15,2020-04-21,Michigan
51,2,Zack Baun,Wisconsin,OLB,Dallas,+12,15,2020-04-21,Wisconsin
52,2,Bryce Hall,Virginia,CB,LA Rams,-7,15,2020-04-21,Virginia
53,2,Damon Arnette,USC,CB,Philadelphia (Trade),-22,15,2020-04-21,California
54,2,J.K. Dobbins,Ohio State,RB,Buffalo,+0,15,2020-04-21,Ohio
55,2,Terrell Lewis,Alabama,EDGE,Baltimore (Trade),+8,15,2020-04-21,Alabama
56,2,Tyler Biadasz,Wisconsin,OC,Miami (Trade),-44,15,2020-04-21,Wisconsin
57,2,Cam Akers,Florida State,RB,LA Rams (Trade),-28,15,2020-04-21,Florida
58,2,Brandon Aiyuk,Arizona State,WR,Minnesota,+7,15,2020-04-21,Arizona
59,2,Damien Lewis,LSU,OG,Seattle,-9,15,2020-04-21,Louisiana
60,2,Ben Bartch,St. John's,OG,Baltimore,-29,15,2020-04-21,Minnesota
61,2,Curtis Weaver,Boise State,EDGE,Tennessee,-5,15,2020-04-21,Idaho
