Pick,Round,Player,School,Position,Team,ReachValue,Points,Date,State
1,1,Joe Burrow,LSU,QB,Cincinnati,-1,40,2020-03-19,Louisiana
2,1,Chase Young,Ohio State,EDGE,Washington,+1,35,2020-03-19,Ohio
3,1,Isaiah Simmons,Clemson,OLB,Detroit,+0,35,2020-03-19,South Carolina
4,1,Tristan Wirfs,Iowa,OT,NY Giants,-3,35,2020-03-19,Iowa
5,1,Tua Tagovailoa,Alabama,QB,Miami,+1,35,2020-03-19,Alabama
6,1,Justin Herbert,Oregon,QB,LA Chargers,-3,35,2020-03-19,Oregon
7,1,Derrick Brown,Auburn,DL1T,Carolina,+2,35,2020-03-19,Alabama
8,1,Andrew Thomas,Georgia,OT,Arizona,-6,35,2020-03-19,Georgia
9,1,Jeffrey Okudah,Ohio State,CB,Jacksonville,+3,35,2020-03-19,Ohio
10,1,Jedrick Wills,Alabama,OT,Cleveland,-12,35,2020-03-19,Alabama
11,1,Mekhi Becton,Louisville,OT,NY Jets,-2,30,2020-03-19,Kentucky
12,1,CeeDee Lamb,Oklahoma,WR,Las Vegas,+2,30,2020-03-19,Oklahoma
13,1,Jerry Jeudy,Alabama,WR,San Francisco (Trade),+2,30,2020-03-19,Alabama
14,1,Josh Jones,Houston,OT,Tampa Bay,-18,30,2020-03-19,Texas
15,1,Javon Kinlaw,South Carolina,DL1T,Denver,+1,30,2020-03-19,South Carolina
16,1,K'Lavon Chaisson,LSU,EDGE,Atlanta,+4,30,2020-03-19,Louisiana
17,1,C.J. Henderson,Florida,CB,Dallas,+1,30,2020-03-19,Florida
18,1,Grant Delpit,LSU,S,Miami (Trade),-16,30,2020-03-19,Louisiana
19,1,Trevon Diggs,Alabama,CB,Las Vegas (Trade),+1,30,2020-03-19,Alabama
20,1,Jordan Love,Utah State,QB,Jacksonville (Trade),-4,30,2020-03-19,Utah
21,1,Henry Ruggs III,Alabama,WR,Philadelphia,+4,25,2020-03-19,Alabama
22,1,Tee Higgins,Clemson,WR,Minnesota (Trade),+2,25,2020-03-19,South Carolina
23,1,A.J. Epenesa,Iowa,DL5T,New England,-3,25,2020-03-19,Iowa
